participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.random_treatment_ids,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,session.params,informed_consent.1.player.id_in_group,informed_consent.1.player.role,informed_consent.1.player.payoff,informed_consent.1.player.consent_given,informed_consent.1.group.id_in_subsession,informed_consent.1.subsession.round_number,demographics.1.player.id_in_group,demographics.1.player.role,demographics.1.player.payoff,demographics.1.player.age,demographics.1.player.gender,demographics.1.player.highest_education,demographics.1.player.country,demographics.1.player.workexperience,demographics.1.group.id_in_subsession,demographics.1.subsession.round_number,instructions_trust.1.player.id_in_group,instructions_trust.1.player.role,instructions_trust.1.player.payoff,instructions_trust.1.player.instruction_q1,instructions_trust.1.player.instruction_q2,instructions_trust.1.player.instruction_q3,instructions_trust.1.player.instruction_q4,instructions_trust.1.group.id_in_subsession,instructions_trust.1.subsession.round_number,trust.1.player.id_in_group,trust.1.player.role,trust.1.player.payoff,trust.1.player.control,trust.1.group.id_in_subsession,trust.1.group.minimum_amount,trust.1.group.chosen_effort,trust.1.group.chosen_effort_min5,trust.1.group.chosen_effort_min10,trust.1.group.chosen_effort_min20,trust.1.subsession.round_number,feedback.1.player.id_in_group,feedback.1.player.role,feedback.1.player.payoff,feedback.1.player.feedback_text,feedback.1.group.id_in_subsession,feedback.1.subsession.round_number,payment_info.1.player.id_in_group,payment_info.1.player.role,payment_info.1.player.payoff,payment_info.1.group.id_in_subsession,payment_info.1.subsession.round_number,instructions_demo.1.player.id_in_group,instructions_demo.1.player.role,instructions_demo.1.player.payoff,instructions_demo.1.player.instruction_q1,instructions_demo.1.player.instruction_q2,instructions_demo.1.player.instruction_q3,instructions_demo.1.group.id_in_subsession,instructions_demo.1.subsession.round_number,sliders.1.player.id_in_group,sliders.1.player.role,sliders.1.player.payoff,sliders.1.player.iteration,sliders.1.player.num_correct,sliders.1.player.control,sliders.1.group.id_in_subsession,sliders.1.group.minimum_amount,sliders.1.group.chosen_effort,sliders.1.subsession.round_number,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.item1control,survey.1.player.item1trust,survey.1.player.item1autocontrol,survey.1.player.item1monitoring,survey.1.player.item2control,survey.1.player.item2trust,survey.1.player.item2autocontrol,survey.1.player.item2monitoring,survey.1.player.item3control,survey.1.player.item3trust,survey.1.player.item3autocontrol,survey.1.player.item3monitoring,survey.1.player.item4trust,survey.1.player.item4control,survey.1.player.item4autocontrol,survey.1.player.item4monitoring,survey.1.player.item5trust,survey.1.player.item5control,survey.1.player.item5autocontrol,survey.1.player.item5monitoring,survey.1.group.id_in_subsession,survey.1.subsession.round_number
11,we9zg3uq,,0,13,13,payment_info,PaymentInfo,46:59.5,1,,,20,,mrg9wqem,,,,,3,trust,0.01,0.25,,11,,0,1,1,1,11,,0,Prefer not to say,Male,Prefer not to say,Iraq,8,1,1,11,,0,No,No,22,80,1,1,1,,20,5,6,No,10,8,,,1,11,,0,,1,1,11,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,je1dm3pz,,0,13,13,payment_info,PaymentInfo,47:57.5,1,,,100,,mrg9wqem,,,,,4,trust,0.01,0.25,,12,,0,1,1,1,12,,0,25-34,Prefer not to say,High School or lower,Armenia,1,1,1,12,,0,No,No,22,80,1,1,2,,100,5,6,No,10,8,,,1,12,,0,,1,1,12,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,wx4qx3oz,,0,13,13,payment_info,PaymentInfo,47:59.5,1,,,24,,mrg9wqem,,,,,5,trust,0.01,0.25,,13,,0,1,1,1,13,,0,18-24,Other,Masters Degree,Satellite,7,1,1,13,,0,No,No,22,80,1,1,1,,24,10,7,Yes,19,,12,,1,13,,0,,1,1,13,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,cl6xd6hf,,0,13,13,payment_info,PaymentInfo,48:57.5,1,,,96,,mrg9wqem,,,,,6,trust,0.01,0.25,,14,,0,1,1,1,14,,0,25-34,Other,Ph.D. or higher,Serbia,1,1,1,14,,0,No,No,22,80,1,1,2,,96,10,7,Yes,19,,12,,1,14,,0,,1,1,14,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,qo0ip3cm,,0,13,13,payment_info,PaymentInfo,48:59.5,1,,,36,,mrg9wqem,,,,,7,trust,0.01,0.25,,15,,0,1,1,1,15,,0,Prefer not to say,Male,Prefer not to say,Nigeria,5,1,1,15,,0,No,No,22,80,1,1,1,,36,20,8,No,18,,,20,1,15,,0,,1,1,15,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ly4xj7gv,,0,13,13,payment_info,PaymentInfo,49:57.5,1,,,84,,mrg9wqem,,,,,8,trust,0.01,0.25,,16,,0,1,1,1,16,,0,18-24,Prefer not to say,Masters Degree,Cyprus,3,1,1,16,,0,No,No,22,80,1,1,2,,84,20,8,Yes,18,,,20,1,16,,0,,1,1,16,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,bs3ww8aa,,0,13,13,payment_info,PaymentInfo,49:59.5,1,,,16,,mrg9wqem,,,,,9,trust,0.01,0.25,,17,,0,1,1,1,17,,0,55-,Other,High School or lower,Jamaica,6,1,1,17,,0,No,No,22,80,1,1,1,,16,5,9,Yes,15,8,,,1,17,,0,,1,1,17,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,xr8cw9ae,,0,13,13,payment_info,PaymentInfo,50:57.5,1,,,104,,mrg9wqem,,,,,10,trust,0.01,0.25,,18,,0,1,1,1,18,,0,55-,Male,Ph.D. or higher,Finland,3,1,1,18,,0,No,No,22,80,1,1,2,,104,5,9,No,15,8,,,1,18,,0,,1,1,18,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,lh3hf4fi,,0,13,13,payment_info,PaymentInfo,50:59.5,1,,,28,,mrg9wqem,,,,,11,trust,0.01,0.25,,19,,0,1,1,1,19,,0,Prefer not to say,Other,High School or lower,Nepal,3,1,1,19,,0,No,No,22,80,1,1,1,,28,10,10,No,14,,15,,1,19,,0,,1,1,19,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,sj0nb1kr,,0,13,13,payment_info,PaymentInfo,51:57.5,1,,,92,,mrg9wqem,,,,,12,trust,0.01,0.25,,20,,0,1,1,1,20,,0,55-,Other,Ph.D. or higher,China,1,1,1,20,,0,No,No,22,80,1,1,2,,92,10,10,No,14,,15,,1,20,,0,,1,1,20,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ap4so8gk,,0,13,13,payment_info,PaymentInfo,51:59.5,1,,,42,,mrg9wqem,,,,,13,trust,0.01,0.25,,21,,0,1,1,1,21,,0,Prefer not to say,Male,Ph.D. or higher,Dominica,4,1,1,21,,0,No,No,22,80,1,1,1,,42,20,11,Yes,20,,,21,1,21,,0,,1,1,21,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,zg9ya8ux,,0,13,13,payment_info,PaymentInfo,52:57.5,1,,,78,,mrg9wqem,,,,,14,trust,0.01,0.25,,22,,0,1,1,1,22,,0,35-44,Other,Prefer not to say,Angola,1,1,1,22,,0,No,No,22,80,1,1,2,,78,20,11,No,20,,,21,1,22,,0,,1,1,22,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,bd0xo6jx,,0,13,13,payment_info,PaymentInfo,52:59.5,1,,,20,,mrg9wqem,,,,,15,trust,0.01,0.25,,23,,0,1,1,1,23,,0,55-,Male,Masters Degree,Isle of Man,8,1,1,23,,0,No,No,22,80,1,1,1,,20,5,12,Yes,12,10,,,1,23,,0,,1,1,23,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ic3we2dd,,0,13,13,payment_info,PaymentInfo,53:57.5,1,,,100,,mrg9wqem,,,,,16,trust,0.01,0.25,,24,,0,1,1,1,24,,0,Prefer not to say,Male,Ph.D. or higher,Paraguay,7,1,1,24,,0,No,No,22,80,1,1,2,,100,5,12,No,12,10,,,1,24,,0,,1,1,24,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,fh7jb8ud,,0,13,13,payment_info,PaymentInfo,53:59.5,1,,,32,,mrg9wqem,,,,,17,trust,0.01,0.25,,25,,0,1,1,1,25,,0,35-44,Female,High School or lower,Estonia,7,1,1,25,,0,No,No,22,80,1,1,1,,32,10,13,No,16,,15,,1,25,,0,,1,1,25,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ug7oc1xc,,0,13,13,payment_info,PaymentInfo,54:57.5,1,,,88,,mrg9wqem,,,,,18,trust,0.01,0.25,,26,,0,1,1,1,26,,0,25-34,Female,Ph.D. or higher,Belize,4,1,1,26,,0,No,No,22,80,1,1,2,,88,10,13,No,16,,15,,1,26,,0,,1,1,26,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sv1yv7st,,0,13,13,payment_info,PaymentInfo,54:59.5,1,,,44,,mrg9wqem,,,,,19,trust,0.01,0.25,,27,,0,1,1,1,27,,0,Prefer not to say,Other,Prefer not to say,Dominica,4,1,1,27,,0,No,No,22,80,1,1,1,,44,20,14,Yes,28,,,22,1,27,,0,,1,1,27,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,mb3jt5rj,,0,13,13,payment_info,PaymentInfo,55:57.5,1,,,76,,mrg9wqem,,,,,20,trust,0.01,0.25,,28,,0,1,1,1,28,,0,18-24,Female,Trade School,Saudi Arabia,8,1,1,28,,0,No,No,22,80,1,1,2,,76,20,14,No,28,,,22,1,28,,0,,1,1,28,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,qm0ho2ab,,0,13,13,payment_info,PaymentInfo,55:59.5,1,,,24,,mrg9wqem,,,,,21,trust,0.01,0.25,,29,,0,1,1,1,29,,0,18-24,Other,Trade School,Jersey,6,1,1,29,,0,No,No,22,80,1,1,1,,24,5,15,No,12,13,,,1,29,,0,,1,1,29,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,qb2jp5zt,,0,13,13,payment_info,PaymentInfo,56:57.5,1,,,96,,mrg9wqem,,,,,22,trust,0.01,0.25,,30,,0,1,1,1,30,,0,18-24,Prefer not to say,High School or lower,Costa Rica,2,1,1,30,,0,No,No,22,80,1,1,2,,96,5,15,No,12,13,,,1,30,,0,,1,1,30,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,rs4wq0iu,,0,13,13,payment_info,PaymentInfo,56:59.5,1,,,48,,mrg9wqem,,,,,23,trust,0.01,0.25,,31,,0,1,1,1,31,,0,Prefer not to say,Other,Prefer not to say,French Polynesia,1,1,1,31,,0,No,No,22,80,1,1,1,,48,10,16,No,24,,17,,1,31,,0,,1,1,31,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ue2to9uu,,0,13,13,payment_info,PaymentInfo,57:57.5,1,,,72,,mrg9wqem,,,,,24,trust,0.01,0.25,,32,,0,1,1,1,32,,0,55-,Male,Bachelors Degree,Gabon,7,1,1,32,,0,No,No,22,80,1,1,2,,72,10,16,No,24,,17,,1,32,,0,,1,1,32,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,qj9mw2wc,,0,13,13,payment_info,PaymentInfo,57:59.5,1,,,44,,mrg9wqem,,,,,25,trust,0.01,0.25,,33,,0,1,1,1,33,,0,55-,Prefer not to say,Bachelors Degree,Argentina,6,1,1,33,,0,No,No,22,80,1,1,1,,44,20,17,Yes,28,,,22,1,33,,0,,1,1,33,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,pj8eg0pn,,0,13,13,payment_info,PaymentInfo,58:57.5,1,,,76,,mrg9wqem,,,,,26,trust,0.01,0.25,,34,,0,1,1,1,34,,0,18-24,Male,Bachelors Degree,Satellite,7,1,1,34,,0,No,No,22,80,1,1,2,,76,20,17,Yes,28,,,22,1,34,,0,,1,1,34,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,br3oe3xd,,0,13,13,payment_info,PaymentInfo,58:59.5,1,,,10,,mrg9wqem,,,,,27,trust,0.01,0.25,,35,,0,1,1,1,35,,0,Prefer not to say,Prefer not to say,Prefer not to say,Czech Republic,2,1,1,35,,0,No,No,22,80,1,1,1,,10,5,18,Yes,10,5,,,1,35,,0,,1,1,35,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,yv5ao3zo,,0,13,13,payment_info,PaymentInfo,59:57.5,1,,,110,,mrg9wqem,,,,,28,trust,0.01,0.25,,36,,0,1,1,1,36,,0,25-34,Female,Ph.D. or higher,Turkmenistan,5,1,1,36,,0,No,No,22,80,1,1,2,,110,5,18,No,10,5,,,1,36,,0,,1,1,36,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,zc5lp2su,,0,13,13,payment_info,PaymentInfo,59:59.5,1,,,24,,mrg9wqem,,,,,29,trust,0.01,0.25,,37,,0,1,1,1,37,,0,55-,Male,Ph.D. or higher,Armenia,2,1,1,37,,0,No,No,22,80,1,1,1,,24,10,19,Yes,15,,12,,1,37,,0,,1,1,37,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ga2lg7vm,,0,13,13,payment_info,PaymentInfo,00:57.5,1,,,96,,mrg9wqem,,,,,30,trust,0.01,0.25,,38,,0,1,1,1,38,,0,25-34,Female,Prefer not to say,Cote D Ivoire,6,1,1,38,,0,No,No,22,80,1,1,2,,96,10,19,Yes,15,,12,,1,38,,0,,1,1,38,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,nt8va5ua,,0,13,13,payment_info,PaymentInfo,00:59.5,1,,,48,,mrg9wqem,,,,,31,trust,0.01,0.25,,39,,0,1,1,1,39,,0,55-,Prefer not to say,Prefer not to say,Bangladesh,6,1,1,39,,0,No,No,22,80,1,1,1,,48,20,20,No,24,,,20,1,39,,0,,1,1,39,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ed2zw2oq,,0,13,13,payment_info,PaymentInfo,01:57.5,1,,,72,,mrg9wqem,,,,,32,trust,0.01,0.25,,40,,0,1,1,1,40,,0,25-34,Female,Ph.D. or higher,Qatar,4,1,1,40,,0,No,No,22,80,1,1,2,,72,20,20,No,24,,,20,1,40,,0,,1,1,40,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,cc9rn3so,,0,13,13,payment_info,PaymentInfo,01:59.5,1,,,32,,mrg9wqem,,,,,33,trust,0.01,0.25,,41,,0,1,1,1,41,,0,45-54,Prefer not to say,Masters Degree,Panama,7,1,1,41,,0,No,No,22,80,1,1,1,,32,5,21,No,16,11,,,1,41,,0,,1,1,41,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,rl8eh3sk,,0,13,13,payment_info,PaymentInfo,02:57.5,1,,,88,,mrg9wqem,,,,,34,trust,0.01,0.25,,42,,0,1,1,1,42,,0,35-44,Male,Masters Degree,Greece,7,1,1,42,,0,No,No,22,80,1,1,2,,88,5,21,No,16,11,,,1,42,,0,,1,1,42,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,gm7ra4iv,,0,13,13,payment_info,PaymentInfo,02:59.5,1,,,24,,mrg9wqem,,,,,35,trust,0.01,0.25,,43,,0,1,1,1,43,,0,45-54,Other,Masters Degree,Portugal,4,1,1,43,,0,No,No,22,80,1,1,1,,24,10,22,No,12,,12,,1,43,,0,,1,1,43,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ri0qk9gw,,0,13,13,payment_info,PaymentInfo,03:57.5,1,,,96,,mrg9wqem,,,,,36,trust,0.01,0.25,,44,,0,1,1,1,44,,0,45-54,Male,Prefer not to say,Belize,1,1,1,44,,0,No,No,22,80,1,1,2,,96,10,22,Yes,12,,12,,1,44,,0,,1,1,44,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ai2ou9if,,0,13,13,payment_info,PaymentInfo,03:59.5,1,,,52,,mrg9wqem,,,,,37,trust,0.01,0.25,,45,,0,1,1,1,45,,0,45-54,Prefer not to say,Prefer not to say,Equatorial Guinea,8,1,1,45,,0,No,No,22,80,1,1,1,,52,20,23,No,26,,,20,1,45,,0,,1,1,45,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,hh9yi1qu,,0,13,13,payment_info,PaymentInfo,04:57.5,1,,,68,,mrg9wqem,,,,,38,trust,0.01,0.25,,46,,0,1,1,1,46,,0,25-34,Prefer not to say,Bachelors Degree,Argentina,1,1,1,46,,0,No,No,22,80,1,1,2,,68,20,23,No,26,,,20,1,46,,0,,1,1,46,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,fo6mh2lv,,0,13,13,payment_info,PaymentInfo,04:59.5,1,,,12,,mrg9wqem,,,,,39,trust,0.01,0.25,,47,,0,1,1,1,47,,0,18-24,Female,Prefer not to say,Bosnia &amp; Herzegovina,2,1,1,47,,0,No,No,22,80,1,1,1,,12,5,24,No,6,5,,,1,47,,0,,1,1,47,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ab6vr1ec,,0,13,13,payment_info,PaymentInfo,05:57.5,1,,,108,,mrg9wqem,,,,,40,trust,0.01,0.25,,48,,0,1,1,1,48,,0,Prefer not to say,Female,Bachelors Degree,Saint Pierre &amp; Miquelon,4,1,1,48,,0,No,No,22,80,1,1,2,,108,5,24,No,6,5,,,1,48,,0,,1,1,48,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,gg3ej9zp,,0,13,13,payment_info,PaymentInfo,05:59.5,1,,,36,,mrg9wqem,,,,,41,trust,0.01,0.25,,49,,0,1,1,1,49,,0,25-34,Other,High School or lower,Vietnam,2,1,1,49,,0,No,No,22,80,1,1,1,,36,10,25,Yes,19,,18,,1,49,,0,,1,1,49,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,wi6zl7wc,,0,13,13,payment_info,PaymentInfo,06:57.5,1,,,84,,mrg9wqem,,,,,42,trust,0.01,0.25,,50,,0,1,1,1,50,,0,25-34,Other,High School or lower,Gabon,7,1,1,50,,0,No,No,22,80,1,1,2,,84,10,25,No,19,,18,,1,50,,0,,1,1,50,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,gy2xy6ks,,0,13,13,payment_info,PaymentInfo,06:59.5,1,,,54,,mrg9wqem,,,,,43,trust,0.01,0.25,,51,,0,1,1,1,51,,0,25-34,Male,High School or lower,Lesotho,7,1,1,51,,0,No,No,22,80,1,1,1,,54,20,26,No,27,,,20,1,51,,0,,1,1,51,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,rf5tx3uf,,0,13,13,payment_info,PaymentInfo,07:57.5,1,,,66,,mrg9wqem,,,,,44,trust,0.01,0.25,,52,,0,1,1,1,52,,0,Prefer not to say,Male,Masters Degree,Singapore,7,1,1,52,,0,No,No,22,80,1,1,2,,66,20,26,Yes,27,,,20,1,52,,0,,1,1,52,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
